Source IP,total_packets,total_bytes,packet_size_std,unique_target_ips,unique_target_ports,total_syn_flags,total_ack_flags,total_fin_flags,total_rst_flags,avg_ttl,avg_window_size,iat_mean,iat_std,flow_duration_sec,packets_per_second,bytes_per_second,avg_packet_size,syn_ack_ratio
host_020,99,42486,574.256810993279,2,12,0.0,0.0,0.0,0.0,244.59595959595958,55070.333333333336,19.567770734125254,104.86552141086096,1917.641531944275,0.051625915662988915,22.15533992785603,429.1515151515151,0.0
host_021,14,7839,644.5102451039518,1,1,0.0,0.0,0.0,0.0,247.92857142857142,67327.92857142857,0.017904923512385443,0.025395138536352127,0.23276400566101074,60.14675662692068,33677.88751417366,559.9285714285714,0.0
host_022,5,631,130.18525262102463,1,1,0.0,0.0,0.0,0.0,45.4,62499.8,0.053219735622406006,0.05321590290685179,0.21287894248962402,23.48752742532863,2964.125961076473,126.2,0.0
host_023,5,631,130.18525262102463,1,1,0.0,0.0,0.0,0.0,235.4,27795.0,0.06383049488067627,0.06387413635513495,0.2553219795227051,19.583116225821694,2471.389267698698,126.2,0.0
host_024,1,66,0.0,1,1,0.0,0.0,0.0,0.0,122.0,265.0,0.0,0.0,0.1,10.0,660.0,66.0,0.0
host_025,1,90,0.0,1,1,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_026,1,90,0.0,1,1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_027,90,6780,13.273272967919361,1,1,0.0,0.0,0.0,0.0,123.0,269.0,22.603503629062953,106.23900778546525,2011.7118229866028,0.044738018125471526,3.370264032118855,75.33333333333333,0.0
host_028,55,3890,10.120486274099799,1,2,0.0,0.0,0.0,0.0,123.0,265.0,37.65331666557877,130.7004737828641,2033.2790999412537,0.027049901807178898,1.9131657823622894,70.72727272727273,0.0
host_029,1,66,0.0,1,1,0.0,0.0,0.0,0.0,122.0,917.0,0.0,0.0,0.1,10.0,660.0,66.0,0.0
host_030,31,13499,551.941351878964,2,3,0.0,0.0,0.0,0.0,104.51612903225806,49564.83870967742,51.10929880142212,257.407577216416,1533.2789640426636,0.02021810820274022,8.804007826735168,435.4516129032258,0.0
host_031,75,14475,0.0,1,2,0.0,0.0,0.0,0.0,123.0,836.0533333333333,26.93042005397178,112.24850641824882,1992.8510839939117,0.03763452302200676,7.263462943247305,193.0,0.0
host_032,2,132,0.0,1,2,0.0,0.0,0.0,0.0,122.0,627.0,1.846649169921875,0.0,1.846649169921875,1.0830427525573862,71.4808216687875,66.0,0.0
host_033,13,9307,694.0065395391292,1,1,0.0,0.0,0.0,0.0,122.76923076923077,67544.53846153847,0.014301836490631104,0.018008214665617056,0.17162203788757324,75.74784777066967,54229.63224627866,715.9230769230769,0.0
host_034,112,23231,369.43042691608775,3,6,0.0,0.0,0.0,0.0,117.88392857142857,113615.75,15.722061928328094,109.71187576341048,1745.1488740444183,0.06417790577398574,13.31175829495949,207.41964285714286,0.0
host_035,1,90,0.0,1,1,0.0,0.0,0.0,0.0,51.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_036,22,2156,0.0,1,1,0.0,0.0,0.0,0.0,51.0,0.0,95.78445742243812,207.92086750694938,2011.4736058712006,0.010937255122704659,1.0718510020250565,98.0,0.0
host_037,5,631,130.18525262102463,1,1,0.0,0.0,0.0,0.0,231.4,27795.0,0.05828124284744263,0.05818612944642042,0.2331249713897705,21.447723811793246,2706.7027450483074,126.2,0.0
host_038,3,270,0.0,1,3,0.0,0.0,0.0,0.0,53.0,0.0,799.2010124921799,257.0658584833145,1598.4020249843597,0.001876874499098157,0.16891870491883412,90.0,0.0
host_039,108,6480,0.0,3,3,0.0,0.0,0.0,0.0,46.0,0.0,18.95284615721658,94.53712083616593,2027.954538822174,0.053255631688235903,3.1953379012941543,60.0,0.0
host_040,1,90,0.0,1,1,0.0,0.0,0.0,0.0,59.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_041,1731,97368,3.898879872864875,1,6,0.0,0.0,0.0,0.0,63.0,302.1698440207972,0.006613820825698059,0.18717510256083136,11.441910028457642,151.2859300322026,8509.768015814849,56.24956672443674,0.0
host_042,28,10362,480.9980309940009,2,2,0.0,0.0,0.0,0.0,98.17857142857143,42715.392857142855,16.349117588113856,82.90672799335425,441.4261748790741,0.06343076508245217,23.473913849441765,370.07142857142856,0.0
host_043,40,21178,563.0113151843763,2,3,0.0,0.0,0.0,0.0,93.0,43475.175,17.094001354315342,76.32915997765402,666.6660528182983,0.06000005524640402,31.76702925020861,529.45,0.0
host_044,30,1818,3.2863353450309964,1,1,0.0,0.0,0.0,0.0,123.0,288.0,69.24632458851255,177.00111403044087,2008.143413066864,0.0149391720754563,0.9053138277726518,60.6,0.0
host_045,47,10575,403.8909667762802,1,2,0.0,0.0,0.0,0.0,49.212765957446805,12713.340425531915,43.69700417311295,157.47346837970906,2010.0621919631958,0.023382361097044387,5.261031246834987,225.0,0.0
host_046,1,90,0.0,1,1,0.0,0.0,0.0,0.0,53.0,0.0,0.0,0.0,0.1,10.0,900.0,90.0,0.0
host_047,101,6210,0.878793051703741,1,77,0.0,0.0,0.0,0.0,34.91089108910891,0.0,20.3308304309845,98.04545893582313,2033.0830430984497,0.04967824621963029,3.0544743467713276,61.48514851485149,0.0
